Title,Note,URL,Tags,Comment
Mandarake Shibuya,全人类“ACGN、复古玩具与亚文化”的终极圣殿,https://www.google.com/maps/place/Mandarake+Shibuya/data=!4m2!3m1!1s0x60188ca848d16117:0x4acab5023d80a3d6,,
Engaku-ji,保存着释迦遗骨,https://www.google.com/maps/place/Engaku-ji/data=!4m2!3m1!1s0x6018459f6eca448d:0x10c24fb2ce7ae52f,,
Kyū-Iwasaki-tei Gardens,三菱的创始者——岩崎家族的主宅,https://www.google.com/maps/place/Ky%C5%AB-Iwasaki-tei+Gardens/data=!4m2!3m1!1s0x60188c2405be1def:0xa80188a58343156a,,
Narita International Airport,返程,https://www.google.com/maps/place/Narita+International+Airport/data=!4m2!3m1!1s0x6022f379d1bd3757:0xd56e29a162771aa1,,
M2ビル,隈研吾经典的M2建筑，现在是殡仪馆,https://www.google.com/maps/place/M2%E3%83%93%E3%83%AB/data=!4m2!3m1!1s0x6018f3e616d97019:0xa15ab119cded7eac,,
Tsurugaoka Hachimangu,鹤岗八幡宫（供的是武神）,https://www.google.com/maps/place/Tsurugaoka+Hachimangu/data=!4m2!3m1!1s0x601845b87890aa89:0xa867ad10105036b5,,
Edosoba Hosokawa,"这家店坚持做 100% 十割纯荞麦，最基础的招牌冷荞麦面（Seiro）大约在 1,100日元 左右。你可以点两份不同产地荞麦做成的冷面，或者搭配一份极简的冷汤面",https://www.google.com/maps/place/Edosoba+Hosokawa/data=!4m2!3m1!1s0x6018893486eaebf5:0xf861e89d4a5aab01,,
Mitake,一日徒步的好路线,https://www.google.com/maps/place/Mitake/data=!4m2!3m1!1s0x60193af30ff266ab:0x7384ce7109b4cbb4,,
Tokyo National Museum,东京国立博物馆,https://www.google.com/maps/place/Tokyo+National+Museum/data=!4m2!3m1!1s0x60188e8314d77d11:0x232fd618bd4977dd,,
MoN Takanawa: The Museum of Narratives,开幕式、红毯，以及 Box1000 / Park Terrace / Tatami 等放映单元,https://www.google.com/maps/place/MoN+Takanawa:+The+Museum+of+Narratives/data=!4m2!3m1!1s0x60188b47f5754987:0xf4b17479dd0b37a5,,
Tokyu Plaza Harajuku “Harakado”,原宿的地标，7楼有一个阶梯状的屋顶花园。,https://www.google.com/maps/place/Tokyu+Plaza+Harajuku+%E2%80%9CHarakado%E2%80%9D/data=!4m2!3m1!1s0x60188d006aacd1ff:0x76e61dfa18aaabe9,,
Yaguchi Book Store,矢口书店（标志性的街边书架）,https://www.google.com/maps/place/Yaguchi+Book+Store/data=!4m2!3m1!1s0x60188c13fa133dd5:0xb32be5d5b320239,,
Tokyo Tonkotsu Ramen Bankara Shinjuku Kabukicho,Youtube直播摄像头所在地,https://www.google.com/maps/place/Tokyo+Tonkotsu+Ramen+Bankara+Shinjuku+Kabukicho/data=!4m2!3m1!1s0x60188cd77e6e1f4d:0xfb8eb7b8c221a5e7,,
Ueno Park,上野公园,https://www.google.com/maps/place/Ueno+Park/data=!4m2!3m1!1s0x60188e9b45906ac3:0xb1cb3623124e645a,,
TabioMEN,袜子,https://www.google.com/maps/place/TabioMEN/data=!4m2!3m1!1s0x60188bf918abf6a1:0x47722ef120664f61,,
Yokohama Red Brick Warehouse,红砖仓库,https://www.google.com/maps/place/Yokohama+Red+Brick+Warehouse/data=!4m2!3m1!1s0x60185cf885807149:0x94947dd82acc3d73,,
Shin-Yokohama Ramen Museum,新横滨拉面博物馆（拉面版文和友）,https://www.google.com/maps/place/Shin-Yokohama+Ramen+Museum/data=!4m2!3m1!1s0x60185ed3fd002a35:0x8c6f8fc9f265028c,,
Lake Yamanaka,山中湖（以清澈的湖水和丰富的户外活动闻名）,https://www.google.com/maps/place/Lake+Yamanaka/data=!4m2!3m1!1s0x6019656b9ab462b3:0x6bee6f60700fa04,,
Meiji Jingu,明治神宫,https://www.google.com/maps/place/Meiji+Jingu/data=!4m2!3m1!1s0x60188cb79a4c26e5:0x8fca893849103f73,,
Akasaka-Mitsuke Station,这是我之间住过的地方，很漂亮,https://www.google.com/maps/place/Akasaka-Mitsuke+Station/data=!4m2!3m1!1s0x60188c7ed33b0cfb:0xc0dcbc30cbc9491c,,
The University of Tokyo,东京da xue,https://www.google.com/maps/place/The+University+of+Tokyo/data=!4m2!3m1!1s0x60188c2ffa206ea3:0x30e407498313ba95,,
Euro Live,6月2-4日竞赛单元,https://www.google.com/maps/place/Euro+Live/data=!4m2!3m1!1s0x60188caa3768603b:0xe5ce50ced7fc466c,,
Tokyo Station,东京站,https://www.google.com/maps/place/Tokyo+Station/data=!4m2!3m1!1s0x60188bfbd89f700b:0x277c49ba34ed38,,
Marunouchi Tokyo Station Square,如图所示，是重要文化遗产,https://www.google.com/maps/place/Marunouchi+Tokyo+Station+Square/data=!4m2!3m1!1s0x60188bf979712903:0x710fa891148d8b9a,,
Nihonbashi Takashimaya Shopping Center,日本桥高岛屋（连锁百货店）,https://www.google.com/maps/place/Nihonbashi+Takashimaya+Shopping+Center/data=!4m2!3m1!1s0x60188bfd850bffff:0x5e9362d024973e62,,
Yokohama Landmark Tower,横滨地标大厦（上去看风景）,https://www.google.com/maps/place/Yokohama+Landmark+Tower/data=!4m2!3m1!1s0x60185c5d7366a111:0x3661ef0a3534c8c7,,
Namiki Yabusoba,"作为东京百年历史的“薮伊豆”系正宗传人，这家老店以极其辛辣、浓郁、深黑色的蘸汁（Tsuyu）闻名。这里的“食用协议”非常克制：面条夹起来，只能将底部15%-20%的部分轻轻蘸一下蘸汁就迅速送入口中。如果整根浸入，系统平衡就会被打破。基础的 ざるそば（Zaru Soba，竹筛凉面）价格在 800 - 1,000日元 左右。这里的面分量极简（老江户人习惯把它当作下午茶或酒后点心），即使点上两份，预算也只要 2,000 日元左右。",https://www.google.com/maps/place/Namiki+Yabusoba/data=!4m2!3m1!1s0x60188ec6fe05aaab:0xf2e639f0c8d1458a,,
Isezakichō,伊勢佐木大街（横滨著名的商业街）,https://www.google.com/maps/place/Isezakich%C5%8D/data=!4m2!3m1!1s0x60185c8c913c7957:0xdb2efbed9ae58179,,
LIFORK Harajuku,6月5-7日特别活动与放映,https://www.google.com/maps/place/LIFORK+Harajuku/data=!4m2!3m1!1s0x60188d59de15df25:0x4e30f8491db2e5c4,,
Hie Shrine,日枝神社在6月7号会举行山王祭的开祭典礼，是一种神道仪式。,https://www.google.com/maps/place/Hie+Shrine/data=!4m2!3m1!1s0x601fa6c4e4114317:0xef431afda2747c8f,,
Shinjuku Golden-Gai,深夜食堂的饭屋就设定在这个地方，这个地方上次我没去过，这次一定要去,https://www.google.com/maps/place/Shinjuku+Golden-Gai/data=!4m2!3m1!1s0x60188cd96586b9af:0x71a5c0e1150c1a8f,,
Komiya Shoten Japanese Umbrella Shop,来这里买伞,https://www.google.com/maps/place/Komiya+Shoten+Japanese+Umbrella+Shop/data=!4m2!3m1!1s0x6018894d427e6b5d:0x3c3b0398da90035e,,
Tokyo Skytree,晴空塔,https://www.google.com/maps/place/Tokyo+Skytree/data=!4m2!3m1!1s0x60188ed0d12f9adf:0x7d1d4fb31f43f72a,,
COGO RYOGOKU,就是这了！！！！！！！,https://www.google.com/maps/place/COGO+RYOGOKU/data=!4m2!3m1!1s0x601889f878b77f5f:0x2de8350f26bd3757,,
Metro-City,航海王jump shop在这里,https://www.google.com/maps/place/Metro-City/data=!4m2!3m1!1s0x35b26531625465c5:0x71daec966fb6d59e,,
Tokyo Dome,东京巨蛋（看棒球赛）,https://www.google.com/maps/place/Tokyo+Dome/data=!4m2!3m1!1s0x60188c4782eed4f3:0x5058b288249e640e,,
Hikawa Clock Shop,这个地方主要是能看那条通向富士山的道路,https://www.google.com/maps/place/Hikawa+Clock+Shop/data=!4m2!3m1!1s0x601967342f7501ff:0x1e8fe68035144f43,,
Tsutaya Books Daikanyama,书店,https://www.google.com/maps/place/Tsutaya+Books+Daikanyama/data=!4m2!3m1!1s0x60188b4fbed0f881:0xd6f9dafad72a5ca9,,
Yamashita Park,跟威海差不多，海边的公园,https://www.google.com/maps/place/Yamashita+Park/data=!4m2!3m1!1s0x60185ce2b1bb57b7:0xe3ba49f16272376c,,
Kagurazaka,这里曾是江户时代的文人聚居地，现在的巷弄保留了极高的私密感。适合探险,https://www.google.com/maps/place/Kagurazaka/data=!4m2!3m1!1s0x60188c5a434ba621:0xe20a63a3a7f53061,,
Haneda Airport,羽田机场,https://www.google.com/maps/place/Haneda+Airport/data=!4m2!3m1!1s0x6018640ba43192e3:0xd32c3a9d146f8df,,
Lake Kawaguchi,河口湖,https://www.google.com/maps/place/Lake+Kawaguchi/data=!4m2!3m1!1s0x60195fb4a5043f4f:0x29cbb24b1e337d47,,
d47 Museum,长冈贤明策划的博物馆（展现日本各地物产于原创性设计）,https://www.google.com/maps/place/d47+Museum/data=!4m2!3m1!1s0x60188b58510db977:0x368b49f38f3a6e95,,
Shibuya Sky,,https://www.google.com/maps/place/Shibuya+Sky/data=!4m2!3m1!1s0x60188b6825f61ae1:0x6ff47ee61e522473,,
Waseda University,早稻田大学的四号楼被隈研吾设计成了村上村树图书馆,https://www.google.com/maps/place/Waseda+University/data=!4m2!3m1!1s0x60188d1a4869b805:0x11e214c5de0808a8,,
Pop Life Department M's,秋叶原的成人塔,https://www.google.com/maps/place/Pop+Life+Department+M's/data=!4m2!3m1!1s0x60188c1d5320f503:0x587e8b2c8debe662,,
Sankeien Garden,经典日式传统庭园，园内最神奇的地方在于，原三溪从京都、镰仓等日本各地，将多栋极具历史价值的古建筑整体拆解并搬运到这里重新组装。整个园内共有 17 栋历史建筑，其中有 10 栋被日本政府指定为“国家重要文化财”（重要文化遗产），比如来自京都旧灯明寺的三层宝塔，它是关东地区最古老的木塔。,https://www.google.com/maps/place/Sankeien+Garden/data=!4m2!3m1!1s0x601842d191a85ba3:0x35551ca0677af962,,
Mandarake Complex,一整栋外墙涂满漆黑色的 8 层标志性建筑。这里的选品更偏向现代御宅族（Otaku）和国际游客。低楼层是手办、超合金、假面骑士和变身腰带，高楼层则逐渐深入到同人志、中古 CD/DVD 和偶像周边。垂直电梯一上一下，就是两个完全不同的世界。,https://www.google.com/maps/place/Mandarake+Complex/data=!4m2!3m1!1s0x60188c1db588759b:0x8c537b9b72799bd3,,
Shinjuku Gyoen National Garden,新宿御苑,https://www.google.com/maps/place/Shinjuku+Gyoen+National+Garden/data=!4m2!3m1!1s0x60188cc21b93233f:0x6a1eb1b5a117f287,,
RAGTAG,主打的是设计师品牌、高级时装和街头潮流,https://www.google.com/maps/place/RAGTAG/data=!4m2!3m1!1s0x60188ca6a7684e97:0xd61b28f2c630d7aa,,
Akasaka Aonono Wagashi Main Store,乔布斯生前情有独钟，在他人生的最后几年，由于身体原因无法频繁前往日本，他竟然安排这家店每两周一次，横跨太平洋将新鲜的大福空运到他加州的家中，长达半年之久。,https://www.google.com/maps/place/Akasaka+Aonono+Wagashi+Main+Store/data=!4m2!3m1!1s0x60188b9658d42923:0x788cb04d9399bcaa,,
Akihabara,秋叶原,https://www.google.com/maps/place/Akihabara/data=!4m2!3m1!1s0x60188ea73ea6f4ff:0x5eb9f1e50fe061e3,,
Roppongi,六本木,https://www.google.com/maps/place/Roppongi/data=!4m2!3m1!1s0x60188b9d3c1c9187:0x48f9c248e9169cfe,,
Meiji Jingu Museum,隈研吾的设计,https://www.google.com/maps/place/Meiji+Jingu+Museum/data=!4m2!3m1!1s0x60188d3793afecc3:0xa43c8d324731658c,,
Apple 銀座,第一家开在美国本土之外的Apple Store，让我看看跟国内的有什么不一样,https://www.google.com/maps/place/Apple+%E9%8A%80%E5%BA%A7/data=!4m2!3m1!1s0x60188be428db1199:0xe7220bc3602b7b8,,
Tabio,买袜子,https://www.google.com/maps/place/Tabio/data=!4m2!3m1!1s0x60188ca1780e2c7f:0x6e91f707ff3a6f6d,,
